kota_kabupaten;kecamatan;jumlah_penduduk;kepadatan_penduduk;jumlah_anak(0-17th);jumlah_usia_produktif(15-64th);jumlah_penduduk_pria;jumlah_penduduk_perempuan;jenis_fasilitas_olahraga;jumlah
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;kolam renang;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;bola voli;1
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;bulu tangkis;4
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;basket;1
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;atletik;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;tenis meja;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;golf;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;senam;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;gedung olahraga;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;stadion;0
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;gelanggang kecamatan;1
Jakarta Timur;Matraman;191.270;38.455;51.784;136.307;95.417;95.717;gelanggang kotamadya;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;tenis;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;sepak bola;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;kolam renang;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;bola voli;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;bulu tangkis;2
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;basket;1
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;atletik;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;tenis meja;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;golf;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;senam;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;gedung olahraga;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;stadion;0
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;gelanggang kecamatan;1
Jakarta Timur;Kramat Jati;323.535;24.226;95.929;227.469;159.753;157.920;gelanggang kotamadya;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;tenis;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;sepak bola;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;kolam renang;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;bola voli;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;bulu tangkis;4
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;basket;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;atletik;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;tenis meja;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;golf;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;senam;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;gedung olahraga;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;stadion;0
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;gelanggang kecamatan;1
Jakarta Timur;Makasar;228.099;10.606;66.688;161.261;112.786;111.663;gelanggang kotamadya;0
